2024-06-25 09:06:656 INFO  HomePage :69 - Clicking on menu tab : [[[ChromeDriver: chrome on windows (1bd222bd9ee6f8509aa8b65964b6c831)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (1bd222bd9ee6f8509aa8b65964b6c831)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (1bd222bd9ee6f8509aa8b65964b6c831)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (1bd222bd9ee6f8509aa8b65964b6c831)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (1bd222bd9ee6f8509aa8b65964b6c831)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (1bd222bd9ee6f8509aa8b65964b6c831)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (1bd222bd9ee6f8509aa8b65964b6c831)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2024-06-25 09:06:746 INFO  ComputerPage :35 - Get computer text[[ChromeDriver: chrome on windows (1bd222bd9ee6f8509aa8b65964b6c831)] -> xpath: //h1]
2024-06-25 09:06:57 INFO  ComputerPage :42 - Clicking on logout link[[ChromeDriver: chrome on windows (0aca3941d7fa4470ac9dfca2f85beb72)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Desktops']]
2024-06-25 09:06:95 INFO  DesktopPage :38 - Get desktop text[[ChromeDriver: chrome on windows (0aca3941d7fa4470ac9dfca2f85beb72)] -> xpath: //h1]
2024-06-25 09:06:867 INFO  ComputerPage :42 - Clicking on logout link[[ChromeDriver: chrome on windows (fc4631ce7e1959bc58b68e54b8f7c0ee)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Desktops']]
2024-06-25 09:06:496 INFO  DesktopPage :44 - Clicking on logout link[[ChromeDriver: chrome on windows (fc4631ce7e1959bc58b68e54b8f7c0ee)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1]/img[1]]
2024-06-25 09:06:674 INFO  BuildYourOwnComputerPage :54 - Select processor : [[ChromeDriver: chrome on windows (fc4631ce7e1959bc58b68e54b8f7c0ee)] -> css selector: #product_attribute_1]
2024-06-25 09:06:815 INFO  BuildYourOwnComputerPage :59 - select ram[[ChromeDriver: chrome on windows (fc4631ce7e1959bc58b68e54b8f7c0ee)] -> css selector: #product_attribute_2]
2024-06-25 09:06:913 INFO  BuildYourOwnComputerPage :73 - select hdd[[[ChromeDriver: chrome on windows (fc4631ce7e1959bc58b68e54b8f7c0ee)] -> name: product_attribute_3], [[ChromeDriver: chrome on windows (fc4631ce7e1959bc58b68e54b8f7c0ee)] -> name: product_attribute_3]]
2024-06-25 09:06:977 INFO  BuildYourOwnComputerPage :87 - select os[[[ChromeDriver: chrome on windows (fc4631ce7e1959bc58b68e54b8f7c0ee)] -> name: product_attribute_4], [[ChromeDriver: chrome on windows (fc4631ce7e1959bc58b68e54b8f7c0ee)] -> name: product_attribute_4]]
2024-06-25 09:06:48 INFO  BuildYourOwnComputerPage :104 - select checkBox[[[ChromeDriver: chrome on windows (fc4631ce7e1959bc58b68e54b8f7c0ee)] -> name: product_attribute_5], [[ChromeDriver: chrome on windows (fc4631ce7e1959bc58b68e54b8f7c0ee)] -> name: product_attribute_5], [[ChromeDriver: chrome on windows (fc4631ce7e1959bc58b68e54b8f7c0ee)] -> name: product_attribute_5]]
